subject_nr	trial_nb	version	label	PW_code	PW	C	V	mode	place	voicing	judgment	response_time
44	12	V2_1	a_harmless_animal	u_occ_vel_NV	ukuk	k	u	plosive	posterior	voiceless	5	924.9690124
44	4	V2_1	an_attractive_animal	a_nas_alv	anan	n	a	sonorant	medium	voiced	6	1909.939955
44	5	V2_1	a_small_animal	i_occ_bi_V	ibib	b	i	plosive	anterior	voiced	6	2186.929255
44	11	V2_1	a_harmless_animal	u_occ_bi_V	ubub	b	u	plosive	anterior	voiced	6	1096.62336
44	15	V2_1	a_bird	a_occ_alv_NV	atat	t	a	plosive	medium	voiceless	7	1434.22152
45	5	V1_2	a_large_animal	i_occ_bi_NV	ipip	p	i	plosive	anterior	voiceless	0	1481.929071
45	6	V1_2	a_repulsive_animal	i_nas_alv	inin	n	i	sonorant	medium	voiced	0	1254.361744
45	7	V1_2	a_fish	a_frac_alv_NV	asas	s	a	fricative	medium	voiceless	0	1242.65703
45	8	V1_2	a_dangerous_animal	i_app_alv	ilil	l	i	sonorant	medium	voiced	0	1139.177853
45	12	V1_2	an_attractive_animal	a_occ_vel_NV	akak	k	a	plosive	posterior	voiceless	0	1502.991023
45	13	V1_2	a_small_animal	a_occ_bi_V	abab	b	a	plosive	anterior	voiced	0	593.7774219
45	15	V1_2	a_dangerous_animal	i_occ_vel_NV	ikik	k	i	plosive	posterior	voiceless	0	719.9685946
45	4	V1_2	a_dangerous_animal	u_occ_vel_V	ugug	g	u	plosive	posterior	voiced	10	1155.124532
45	9	V1_2	a_harmless_animal	u_occ_bi_NV	upup	p	u	plosive	anterior	voiceless	10	647.4782149
45	10	V1_2	a_harmless_animal	u_nas_bi	umum	m	u	sonorant	anterior	voiced	10	671.1745439
45	11	V1_2	a_bird	i_occ_alv_NV	itit	t	i	plosive	medium	voiceless	10	791.9528116
45	14	V1_2	a_dangerous_animal	i_occ_bi_V	ibib	b	i	plosive	anterior	voiced	10	1494.56307
46	9	V2_1	a_repulsive_animal	i_occ_vel_NV	ikik	k	i	plosive	posterior	voiceless	1	1361.301019
46	4	V2_1	a_dangerous_animal	i_occ_bi_NV	ipip	p	i	plosive	anterior	voiceless	2	1038.058744
46	12	V2_1	a_dangerous_animal	i_occ_alv_V	idid	d	i	plosive	medium	voiced	2	1320.556116
46	7	V2_1	a_fish	i_fric_alv_NV	isis	s	i	fricative	medium	voiceless	3	900.6107068
46	14	V2_1	a_dangerous_animal	i_nas_bi	imim	m	i	sonorant	anterior	voiced	3	2043.953552
46	15	V2_1	a_bird	a_occ_alv_NV	atat	t	a	plosive	medium	voiceless	3	1777.723352
46	8	V2_1	a_harmless_animal	u_occ_bi_V	ubub	b	u	plosive	anterior	voiced	5	2958.058035
46	11	V2_1	an_attractive_animal	a_nas_alv	anan	n	a	sonorant	medium	voiced	7	941.0696398
46	10	V2_1	a_small_animal	i_occ_bi_V	ibib	b	i	plosive	anterior	voiced	8	934.019288
46	13	V2_1	a_harmless_animal	u_occ_vel_NV	ukuk	k	u	plosive	posterior	voiceless	8	1597.462844
46	6	V2_1	a_harmless_animal	i_occ_vel_V	igig	g	i	plosive	posterior	voiced	9	1616.687683
